Matthew Carter$Vilecrest Family$Richard Stewart                                  $1{Robert Rogers,Kevin Green,Brandon Edwards,Joseph Campbell,Gary Nelson}$Benjamin Rogers|Daniel Baker|Jason Morris|Steven Collins|Edward Rivera|Joshua Stewart|Larry Perez|Brian Evans|Nicholas Bell|Kenneth Rogers|Timothy Howard|Joseph Wright
Eric Perez$Wraithmoor Family$Stephen Scott                                    $7{Brandon Edwards,William Murphy,Jason Morris,Joseph White,Joseph Turner,Anthony Green,Benjamin Adams,Kevin Miller,Steven Green}$Gary Reed|Joshua Stewart|Matthew Carter|Jason Turner|Jacob Reed|Paul Murphy|Brandon Rogers|Joseph Wright|Kevin Howard|David Adams|James Bell|Kevin Green|Jacob Green|Brian Black|Justin Young
Brian Black$Coldspire Family$Timothy Scott                                    $3{Samuel Young,George King,Daniel Baker,Benjamin Stewart,Justin Young}$Samuel Turner|Brian Scott|Matthew Adams|Gary Reed|Timothy Howard|Jacob Sanchez|James Adams|Kevin Turner|Matthew Miller|Joseph Carter|William Roberts|Gary Bell
Anthony King$Gravewick Family$Justin Young                                     $1{Larry Reed,Larry King,Brian Evans,Eric Sanchez,Kevin Rivera,James Cook,Jeffrey Nelson,Steven Bell,Joseph Carter,Michael Sanchez,Daniel Sanchez,Brandon Stewart,Jacob Sanchez,Brandon Parker,David Bell,James Adams,William Evans}$Paul Murphy|Thomas Miller|Matthew Carter|Stephen White|Samuel Bailey|Jacob Reed|Kevin Miller|Jason Morris|Scott Howard|Daniel Baker|Joseph Wright|Charles White|Edward Phillips|Jason Cook|Matthew Miller|Andrew Edwards|Nicholas Bell|Matthew Evans|Mark Rivera
Samuel Turner$Wraithfall Family II$Charles White                                    $3{Robert Stewart,Mark Black,Edward Phillips,Richard Stewart,Jason Morris,Steven Collins,Matthew Carter,William Murphy,Robert King,Jonathan Nelson}$Jason King|Samuel Nelson|Gary Nelson|Nicholas Turner|Jason Green|Daniel Sanchez|Paul Murphy|Gary Bell|Edward Harris|Joseph Turner|Matthew Miller|Brandon Parker|Kevin Howard|Nicholas Bell|Kenneth Sanchez|James Cook|Robert Rogers
Jacob Green$Cinderfen Family$Timothy Scott                                    $0{George Cook,Matthew Miller,David Adams,Jonathan Nelson}$Justin Young|Ryan Collins
Joseph Campbell$Rotwick Family$Nicholas Bell                                    $5{Anthony Green,Larry Perez,Anthony Roberts,Edward Rivera,Kenneth Rogers,Nicholas Turner,Edward Harris,Eric Perez,Samuel Nelson}$Daniel Sanchez|Brian Scott|Steven Collins|Robert Phillips|Joseph Turner|Edward Phillips|Jeffrey Nelson|Samuel Young|Brian Evans|Jason Green|Anthony King|Samuel Bailey|James Cook|Larry Reed|Jacob Mitchell
Mark Campbell$Ironmoor Family$Kevin Turner                                     $8{Kevin Miller,Michael Cook,Justin Mitchell,Brandon Stewart,Thomas Wright,Steven Edwards,Jonathan Harris,Samuel Nelson,Scott Howard,Joshua Stewart,Anthony King,James Wright,Robert Morgan,Thomas Sanchez}$Jason King|Jonathan Howard|Brandon Collins|Kenneth Sanchez|Samuel Turner|Robert King|Larry King|James Baker|Kevin Howard
Matthew Miller$Grimfen Family$Matthew Adams                                    $8{James Perez,Jason Morris,Brandon Stewart,Samuel Bailey,Timothy Howard,Kenneth Rogers,Paul Stone,Jeffrey Nelson,Daniel Baker}$Benjamin Stewart|Larry Perez|Nicholas Bell|Robert King|Jacob Adams|James Baker
Timothy Howard$Grimfall Family$Edward Phillips                                  $3{David Adams,Matthew Carter,Brian King}$Brandon Rogers|Jason Cook|Stephen Scott|Justin Mitchell
Larry Hill$Rotvale Family$Daniel Sanchez                                   $0{David Adams,Kevin Stewart,Joseph Carter,Andrew Edwards,Brian King,Nicholas Bell,Benjamin Perez,Steven Bell,Eric Perez}$Timothy Scott|Paul Stewart|Brandon Collins|Kevin Miller|Jacob Sanchez|George King|Jacob Adams|Brandon Young|Gary Reed|Matthew Carter|Joseph Turner|Edward Phillips|Robert King
