Matthew Scott$Grimwald Family$Anthony Roberts                                  $4{Andrew Black,Charles Parker,Jonathan Carter,Benjamin Evans,Timothy Adams,Gary Mitchell,Mark Stone}$Joseph Harris|Charles Bailey|Timothy Baker|Thomas Young|Paul Bailey|Anthony Roberts|Justin Wright
Joseph Harris$Skullmoor Family$Timothy Baker                                    $8{Ronald King,Michael Carter,Paul Bailey,Brian Cooper,Benjamin Morgan,Donald Bailey}$Anthony Roberts|Mark Stone|Timothy Baker|Jonathan Carter
Donald Adams$Frostmoor Family$Justin Wright                                    $3{Timothy King,Charles Bailey,Ryan Morgan,Kevin Murphy,Andrew Black,Jacob Baker,Joseph Harris}$Matthew Murphy|Timothy Baker|Donald Bailey|Jonathan Carter|Mark Stone|Ronald King|Anthony Roberts|Gary Mitchell|Brian Bailey
Thomas Young$Skullmoor Family II$Jason King                                       $7{Donald Bailey,Kevin Murphy,Brian Cooper,Charles Parker,Charles Bailey}$Donald Adams|Gary Mitchell|Timothy Baker|Timothy King|Joseph Harris|Ronald King|Anthony Roberts|Andrew Walker|Brian Bailey|Benjamin Evans|Jonathan Carter|Michael Carter|Paul Bailey|Matthew Scott|Mark Stone|Jason King|Benjamin Morgan|Timothy Adams|Justin Wright
Gary Mitchell$Bloodspire Family$Benjamin Morgan                                  $8{Kevin Murphy,Joseph Harris,Donald Bailey,Mark Stone,Benjamin Evans,Timothy Adams,Timothy Baker,Brian Bailey,Timothy King,Ronald King}$Charles Bailey|Matthew Scott|Ryan Morgan|Matthew Murphy
Timothy Adams$Vilefen Family$Timothy Baker                                    $2{Ronald King,Ryan Morgan,Donald Adams,Mark Stone,Matthew Scott,Justin Wright,Benjamin Evans}$Timothy King|Paul Bailey|Gary Mitchell
Brian Bailey$Ironshade Family$Charles Bailey                                   $0{Benjamin Stone,Jacob Baker,Donald Bailey,Ryan Morgan,Timothy Baker,Donald Adams,Gary Mitchell,Kevin Murphy,Mark Stone,Justin Wright,Andrew Walker,Timothy King,Jonathan Carter,Matthew Murphy}$Brian Cooper|Joseph Harris|Benjamin Morgan|Jason King|Andrew Black|Charles Bailey|Ronald King|Anthony Roberts|Paul Bailey|Timothy Adams|Charles Parker
Kevin Murphy$Stormshade Family$Thomas Young                                     $8{Matthew Scott,Andrew Walker,Timothy Baker,Andrew Black,Brian Bailey,Charles Bailey,Ronald King,Benjamin Stone,Matthew Murphy,Jonathan Carter,Benjamin Morgan,Paul Bailey,Timothy King,Jacob Baker,Ryan Morgan,Anthony Roberts,Joseph Harris,Brian Cooper,Timothy Adams}$Mark Stone|Justin Wright|Michael Carter|Charles Parker|Jason King|Gary Mitchell|Benjamin Evans
Timothy Baker$Hollowfen Family II$Charles Bailey                                   $6{Matthew Murphy,Donald Bailey,Ronald King,Donald Adams,Joseph Harris,Paul Bailey,Andrew Walker,Kevin Murphy,Jacob Baker,Mark Stone}$Michael Carter|Gary Mitchell|Matthew Scott|Timothy Adams
Timothy Baker$Grimshade Family II$Justin Wright                                    $1{Donald Adams,Anthony Roberts,Mark Stone,Benjamin Evans,Joseph Harris,Brian Cooper,Andrew Walker,Ryan Morgan,Jonathan Carter,Benjamin Stone,Andrew Black,Ronald King,Thomas Young}$Gary Mitchell|Brian Bailey|Matthew Scott|Paul Bailey|Timothy King|Timothy Adams|Charles Bailey|Jacob Baker|Benjamin Morgan|Charles Parker|Michael Carter|Justin Wright|Matthew Murphy|Kevin Murphy|Donald Bailey
Timothy Adams$Vileshade Family$Andrew Walker                                    $1{Jacob Baker,Mark Stone,Donald Bailey,Justin Wright,Jonathan Carter,Timothy Baker,Charles Bailey,Michael Carter,Kevin Murphy}$Thomas Young|Anthony Roberts|Ronald King|Timothy King
